user_id,sofifa_id,tag
17800,158023,Clinical Finisher
17800,158023,Complete Forward
17800,158023,Dribbler
17800,158023,Distance Shooter
17800,158023,FK Specialist
17800,158023,Finesse Shot
17800,158023,Team Player
17800,158023,Speed Dribbler
17800,158023,One Club Player
17800,158023,Long Shot Taker
17800,158023,Argentina
17800,158023,FC Barcelona
17800,158023,Spain Primera Division
15558,158023,Acrobat
15558,158023,Clinical Finisher
15558,158023,Distance Shooter
15558,158023,Complete Forward
15558,158023,Dribbler
15558,158023,Outside Foot Shot
15558,158023,Playmaker
15558,158023,Finesse Shot
15558,158023,Chip Shot
15558,158023,Long Shot Taker
15558,158023,Argentina
15558,158023,FC Barcelona
15558,158023,Spain Primera Division
135726,158023,Complete Forward
135726,158023,Dribbler
135726,158023,Clinical Finisher
135726,158023,FK Specialist
135726,158023,Distance Shooter
135726,158023,Speed Dribbler
135726,158023,Finesse Shot
135726,158023,Chip Shot
135726,158023,Playmaker
135726,158023,Team Player
135726,158023,Argentina
135726,158023,FC Barcelona
135726,158023,Spain Primera Division
16822,158023,Distance Shooter
16822,158023,FK Specialist
16822,158023,Dribbler
16822,158023,Complete Forward
16822,158023,Acrobat
16822,158023,Playmaker
16822,158023,Finesse Shot
16822,158023,Long Shot Taker
16822,158023,Team Player
16822,158023,Speed Dribbler
16822,158023,Argentina
16822,158023,FC Barcelona
16822,158023,Spain Primera Division
2167,158023,Clinical Finisher
2167,158023,Complete Forward
2167,158023,Dribbler
2167,158023,Acrobat
2167,158023,Distance Shooter
2167,158023,One Club Player
2167,158023,Long Shot Taker
2167,158023,Chip Shot
2167,158023,Team Player
2167,158023,Finesse Shot
2167,158023,Argentina
2167,158023,FC Barcelona
2167,158023,Spain Primera Division
10991,20801,Complete Forward
10991,20801,Aerial Threat
10991,20801,Clinical Finisher
10991,20801,Dribbler
10991,20801,Distance Shooter
10991,20801,Long Shot Taker
10991,20801,Power Free-Kick
10991,20801,Flair
10991,20801,Outside Foot Shot
10991,20801,Speed Dribbler
10991,20801,Portugal
10991,20801,Juventus
10991,20801,Italian Serie A
128452,20801,Aerial Threat
128452,20801,Dribbler
128452,20801,Clinical Finisher
128452,20801,Complete Forward
128452,20801,Acrobat
